user_id,wallet,tokens
26,0x1B9d39Da4AaB19DcCfbc17A16F876EfFCC73eafD,25383171005748640
27,0x743fC05850Fac2ce03251704cDa96F5e09146cAc,1307264823204030720
28,0x88D14A8496DCa90425d67B05c5Cc918feFD4C917,15530514226939044
29,0x4c77684F524164c4224fB07Af2409DBdd08712BD,247599000574234656
30,0x59584bb6E94f8aEe1cbc642bdf417F12442d2ee2,153862752521867168
31,0x3B3F04dEB78e8d12929aF043B12b605e552eEACe,31422930913776992
32,0x437cDA40F4663d1393532143c9Fd62838305d344,10840840639181770
33,0x33d83d19FB50EaC2ddf0B88e4F0E30fbDa5De7d8,7959503725312342
34,0xB8eb90D8911F278EBdf953F7dc2F778B1C4a1057,30470314675026224
35,0x346df7343190CDc300cdA6FC4Df273336E27D6D5,282319368707796128
36,0xA18467F28275213be52b8c3bdE15F008cf02F61c,114279396575867632
37,0x3a9AAEFC38a5F32B156E67aEC220B7AaF4de7006,3951365027607391
38,0xf35364A32134DC1e2686162642a478C28A87006b,2614151312465248256
39,0x01adA2D4e2f49743869B47c52779ba87e4C43Fc0,1616449110796079
40,0x81cDd79bCc95511Bb944D1c15E4a845adAD01bF4,589607449377526
41,0xd040bAEb020692D62A0ec7811Fb6BE9B96f9844e,369074514534535040
42,0xDA66262b2Db801AB6318A0b3C204EFC82619f0fc,107947363267171136
43,0x02Bb0EF73c3F998Da36ac41871a96C4a130cA889,1009885726185119616
44,0xe4Db239bdbFC3fE1bF89d0d570F53F1dDe24EBeE,48476506146449320
45,0xA10d11eB58c417b639fa977c297275e6db6acFCf,381625235655420672
46,0xc9Dcf0Af57f9015A999f95DAa84483C20456DCEB,159144974301187808
47,0x6CB4878ec7c486e93525eB90344335a64b44B1e2,2349331528044065280
48,0xcd7386c5aC8FB8e140f4C20108fecaa9E4CF76C5,12778901310617208
49,0x7F9D39De53a3036463146e91E921cC9FbfCb2De4,437320075617
50,0x25Ad6Ac54cb59C10665094569e8B167c234D7343,312705658455416256
51,0xA8fA9729C066448Ea2908fd4154Baa12642c3b7B,3664991910175616
52,0xF5c897f8713CF6A98C751080A09870CD4b3a09EF,14071640324805370
53,0x3bDBAeC8491608BAa8265672986d2497757Ad382,2453272556719219
54,0x9bb64e40DCBe4645F99F0a9e2507b5A53795fa70,1517767814543785472
55,0x7657A0B0b3f4256ab2569EaC08Afd6E65743A365,53382217809006304
56,0xB70c8f93862647f9C3746178175Ff190F4Af8a77,20012452948817178624
57,0xe5F0fd0C7C57ab498F4D9d16e81151368Fa9a5B9,434528718783839488
58,0x6c949e5EA881BDe629D266717Fe1C429aF295E90,836026896731532800
59,0x4352eA6021C55D08e743cad78d5383E7f9D4cC9A,551433937113677
60,0x727DFEC0d79FAf8ca61a678B96aBc9E46E44cfe8,126167691197310752
61,0x25681B4ED236FbB1b28731902d40536Cc4b08ef1,14567857884461846
62,0x17e39a30AC78F364d079053004ae447F6C98c577,72118484295524976
63,0xF0A421cB39dBB2d481dd0842bd3FD4498394044f,545150394083269312
64,0x3BF5170a54eB33a7c10de8C1F9E34093580a654f,46031184903657
65,0x24d81cdf3043E7d4c45cd3056A183eC4f78A6ec6,1058809941210299008
66,0xB1FEdA46aEe460f85D0B15f5C739B1364f702a89,49009761090242056
67,0xBEaF97A08dB947816acEAa2AB461d88090673c51,1121854120464303616
68,0x9563C18214708A753683461b5303a7ea8C3CE152,46928306693196344
69,0x1A316588d98f36cF4076dED9C67A1CCb007907f3,4936572535144613
70,0x748A902E7cd5c9430321FeBf2544E5CB417506d7,21507136913301094400
71,0xf67a88c2CFd103c00cc1c167f036679f916A8267,2468901829943399
72,0x7e7279372c8a8F2700700a668dE98bDe49D2A6d7,19587021078822740
73,0x0972c78bB09A1bDF3c21b7d1AF184FF0361b066f,239215553114962080
